TRIPID,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,TRPMILES,LOOP_TRIP,TRIPPURP,TRAVDAY,HOMEOWN,HHSIZE,HHFAMINC,HHSTATE,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,CENSUS_D,HH_RACE,EDUC,WORKER,WHYTRP90,R_AGE_IMP,R_SEX_IMP,OBHUR,DBHUR,OBPPOPDN,DBPPOPDN,TRAVELMODE
4215,866,1,1,1300,6.479,2,HBO,4,2,1,1,TX,0,1,1,4,7,2,2,2,6,50,1,C,U,7000,7000,RAIL
4216,866,1,2,1530,0.498,2,NHB,4,2,1,1,TX,0,1,1,4,7,2,2,2,3,50,1,U,U,7000,7000,WALK
4217,866,1,3,1650,7.453,2,HBSHOP,4,2,1,1,TX,0,1,1,4,7,2,2,2,6,50,1,U,C,7000,7000,RAIL
4218,867,1,1,950,7.661,2,HBO,1,2,1,4,NC,0,9,1,2,5,2,3,2,5,68,2,S,C,3000,7000,TAXI
4219,867,1,2,1300,10.236,2,NHB,1,2,1,4,NC,0,9,1,2,5,2,3,2,11,68,2,C,T,7000,750,TAXI
4220,867,1,3,1322,3.153,2,NHB,1,2,1,4,NC,0,9,1,2,5,2,3,2,3,68,2,T,S,750,1500,TAXI
4221,867,1,4,1350,1.648,2,HBSHOP,1,2,1,4,NC,0,9,1,2,5,2,3,2,5,68,2,S,S,1500,3000,TAXI
4222,868,2,1,800,0.209,2,HBSOCREC,7,2,2,5,NY,1,2,1,5,2,2,2,2,8,22,1,U,U,30000,30000,WALK
4223,868,2,2,2000,0.209,2,HBSOCREC,7,2,2,5,NY,1,2,1,5,2,2,2,2,8,22,1,U,U,30000,30000,WALK
4224,869,1,1,945,8.744,2,HBO,1,2,2,1,GA,0,2,1,1,5,1,3,2,5,27,1,T,T,300,1500,PASSENGER
4225,869,1,2,1200,6.028,2,NHB,1,2,2,1,GA,0,2,1,1,5,1,3,2,10,27,1,T,T,1500,750,PASSENGER
4226,869,1,3,1400,2.919,2,HBSHOP,1,2,2,1,GA,0,2,1,1,5,1,3,2,5,27,1,T,T,750,300,PASSENGER
4227,869,2,1,1050,0.319,2,HBO,1,2,2,1,GA,0,2,1,1,5,1,2,2,5,27,1,T,T,300,300,WALK
4228,869,2,2,1200,0.319,2,HBO,1,2,2,1,GA,0,2,1,1,5,1,2,2,5,27,1,T,T,300,300,WALK
4229,869,2,3,1307,2.778,2,HBSHOP,1,2,2,1,GA,0,2,1,1,5,1,2,2,10,27,1,T,T,300,750,PASSENGER
4230,869,2,4,1447,2.918,2,HBSHOP,1,2,2,1,GA,0,2,1,1,5,1,2,2,10,27,1,T,T,750,300,PASSENGER
4231,870,1,1,1245,0.287,2,HBO,3,2,2,1,NY,1,5,2,6,2,1,1,1,5,38,2,T,T,7000,1500,WALK
4232,870,1,2,1645,0.309,2,NHB,3,2,2,1,NY,1,5,2,6,2,1,1,1,10,38,2,T,T,1500,1500,WALK
4233,870,1,3,1820,0.192,2,NHB,3,2,2,1,NY,1,5,2,6,2,1,1,1,8,38,2,T,T,1500,7000,WALK
4234,870,1,4,1835,0.139,2,NHB,3,2,2,1,NY,1,5,2,6,2,1,1,1,8,38,2,T,T,7000,7000,WALK
4235,870,1,5,1855,0.089,2,HBSOCREC,3,2,2,1,NY,1,5,2,6,2,1,1,1,5,38,2,T,T,7000,7000,WALK
4236,870,2,1,1245,0.287,2,HBSOCREC,3,2,2,1,NY,1,5,2,6,2,1,-1,-1,10,9,1,T,T,7000,1500,WALK
4237,870,2,2,1645,0.287,2,HBSOCREC,3,2,2,1,NY,1,5,2,6,2,1,-1,-1,10,9,1,T,T,1500,7000,WALK
4238,870,2,3,1720,0.89,2,HBSHOP,3,2,2,1,NY,1,5,2,6,2,1,-1,-1,10,9,1,T,T,7000,1500,PASSENGER
4239,870,2,4,1745,15.163,2,NHB,3,2,2,1,NY,1,5,2,6,2,1,-1,-1,8,9,1,T,R,1500,50,PASSENGER
4240,870,2,5,330,14.525,2,HBSOCREC,3,2,2,1,NY,1,5,2,6,2,1,-1,-1,8,9,1,R,T,50,7000,PASSENGER
4241,871,1,1,700,277.82,2,NHB,2,2,3,1,TX,1,5,1,4,7,2,2,1,10,33,2,U,U,17000,3000,DRIVE
4242,871,2,1,700,277.82,2,HBSOCREC,2,2,3,1,TX,1,5,1,4,7,2,-1,-1,10,8,1,U,U,17000,3000,PASSENGER
4243,871,3,1,700,277.82,2,HBSOCREC,2,2,3,1,TX,1,5,1,4,7,2,-1,-1,10,13,1,U,U,17000,3000,PASSENGER
4244,872,1,1,1430,3.445,2,HBW,2,2,1,4,KY,1,1,1,3,6,2,2,1,1,45,1,U,U,7000,7000,RAIL
4245,873,1,1,900,1.044,2,HBO,4,2,1,3,MA,0,9,1,5,1,1,2,2,6,79,2,U,U,30000,30000,WALK
4246,873,1,2,1100,0.505,2,NHB,4,2,1,3,MA,0,9,1,5,1,1,2,2,3,79,2,U,U,30000,30000,WALK
4247,873,1,3,1200,0.557,2,HBSHOP,4,2,1,3,MA,0,9,1,5,1,1,2,2,6,79,2,U,U,30000,30000,WALK
4248,873,1,4,1400,0.303,2,HBSHOP,4,2,1,3,MA,0,9,1,5,1,1,2,2,10,79,2,U,U,30000,30000,WALK
4249,873,1,5,1510,0.303,2,HBSHOP,4,2,1,3,MA,0,9,1,5,1,1,2,2,10,79,2,U,U,30000,30000,WALK
4250,873,1,6,1600,0.099,2,HBO,4,2,1,3,MA,0,9,1,5,1,1,2,2,4,79,2,U,U,30000,30000,WALK
4251,873,1,7,1755,0.099,2,HBO,4,2,1,3,MA,0,9,1,5,1,1,2,2,4,79,2,U,U,30000,30000,WALK
4252,874,1,1,1220,0.029,2,HBSHOP,1,2,1,4,NY,0,9,1,5,2,2,3,2,3,79,2,U,U,30000,30000,WALK
4253,874,1,2,1235,2.77,2,NHB,1,2,1,4,NY,0,9,1,5,2,2,3,2,3,79,2,U,U,30000,17000,BUS
4254,874,1,3,1845,1.291,2,NHB,1,2,1,4,NY,0,9,1,5,2,2,3,2,3,79,2,U,U,17000,30000,RAIL
4255,874,1,4,2000,5.543,2,NHB,1,2,1,4,NY,0,9,1,5,2,2,3,2,11,79,2,U,U,30000,30000,RAIL
4256,874,1,5,2206,1.008,2,HBO,1,2,1,4,NY,0,9,1,5,2,2,3,2,3,79,2,U,U,30000,30000,WALK
4257,875,1,1,930,0.115,2,HBSHOP,6,2,3,1,CA,1,10,1,5,9,3,4,1,3,52,1,U,U,30000,30000,WALK
4258,875,1,2,936,0.202,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,1,1,52,1,U,U,30000,30000,WALK
4259,875,1,3,1350,0.179,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,1,2,52,1,U,U,30000,17000,WALK
4260,875,1,4,1430,0.178,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,1,2,52,1,U,U,17000,30000,WALK
4261,875,1,5,1620,0.178,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,1,4,52,1,U,U,30000,30000,WALK
4262,875,1,6,1720,0.178,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,1,4,52,1,U,U,30000,30000,WALK
4263,875,1,7,1900,0.137,2,HBW,6,2,3,1,CA,1,10,1,5,9,3,4,1,1,52,1,U,U,30000,30000,WALK
4264,875,2,1,900,0.138,2,HBSHOP,6,2,3,1,CA,1,10,1,5,9,3,4,2,3,80,1,U,U,30000,30000,WALK
4265,875,2,2,930,0.469,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,2,10,80,1,U,U,30000,30000,WALK
4266,875,2,3,1020,0.583,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,4,2,10,80,1,U,U,30000,30000,WALK
4267,875,2,4,1110,0.214,2,HBSOCREC,6,2,3,1,CA,1,10,1,5,9,3,4,2,10,80,1,U,U,30000,30000,WALK
4268,875,3,1,1200,0.138,2,HBSHOP,6,2,3,1,CA,1,10,1,5,9,3,3,2,3,76,2,U,U,30000,30000,WALK
4269,875,3,2,1215,0.127,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,3,2,3,76,2,U,U,30000,30000,WALK
4270,875,3,3,1230,0.208,2,NHB,6,2,3,1,CA,1,10,1,5,9,3,3,2,4,76,2,U,U,30000,30000,WALK
4271,875,3,4,1400,0.219,2,HBO,6,2,3,1,CA,1,10,1,5,9,3,3,2,4,76,2,U,U,30000,30000,WALK
4272,876,1,1,915,14.018,2,HBW,5,2,1,8,CA,1,1,1,5,9,1,4,1,1,33,2,U,U,7000,30000,BUS
4273,876,1,2,1810,11.134,2,HBW,5,2,1,8,CA,1,1,1,5,9,1,4,1,1,33,2,U,U,30000,7000,BUS
4274,876,1,3,1932,1.759,2,HBO,5,2,1,8,CA,1,1,1,5,9,1,4,1,4,33,2,U,U,7000,30000,CYCLE
4275,876,1,4,1958,1.776,2,HBO,5,2,1,8,CA,1,1,1,5,9,1,4,1,4,33,2,U,U,30000,7000,CYCLE
4276,877,1,1,555,0.496,2,HBSHOP,7,2,1,1,CA,0,1,1,5,9,1,1,2,3,55,1,U,U,17000,17000,CYCLE
4277,877,1,2,620,0.496,2,HBSHOP,7,2,1,1,CA,0,1,1,5,9,1,1,2,3,55,1,U,U,17000,17000,CYCLE
4278,878,1,1,830,1.942,2,HBO,2,2,2,1,TX,1,2,1,4,7,1,1,2,5,43,2,S,S,3000,7000,WALK
4279,878,1,2,1200,1.942,2,HBO,2,2,2,1,TX,1,2,1,4,7,1,1,2,5,43,2,S,S,7000,3000,WALK
4280,878,2,1,800,0.028,2,HBW,2,2,2,1,TX,1,2,1,4,7,1,1,1,1,60,1,S,S,3000,3000,WALK
4281,878,2,2,1800,0.0,2,HBW,2,2,2,1,TX,1,2,1,4,7,1,1,1,1,60,1,S,S,3000,3000,WALK
4282,879,1,1,803,10.055,2,HBW,6,1,3,6,TX,1,6,1,4,7,4,1,1,1,55,1,C,S,3000,1500,DRIVE
4283,879,1,2,1915,9.836,2,HBW,6,1,3,6,TX,1,6,1,4,7,4,1,1,1,55,1,S,C,1500,3000,DRIVE
4284,879,2,1,705,8.577,2,HBO,6,1,3,6,TX,1,6,1,4,7,4,1,2,4,54,2,C,S,3000,7000,DRIVE
4285,879,2,2,733,5.236,2,NHB,6,1,3,6,TX,1,6,1,4,7,4,1,2,10,54,2,S,S,7000,3000,DRIVE
4286,879,2,3,856,2.428,2,HBSOCREC,6,1,3,6,TX,1,6,1,4,7,4,1,2,10,54,2,S,C,3000,3000,DRIVE
4287,879,2,4,1435,8.577,2,HBO,6,1,3,6,TX,1,6,1,4,7,4,1,2,4,54,2,C,S,3000,7000,DRIVE
4288,879,2,5,1508,7.646,2,HBO,6,1,3,6,TX,1,6,1,4,7,4,1,2,4,54,2,S,C,7000,3000,DRIVE
4289,879,3,1,705,8.577,2,HBO,6,1,3,6,TX,1,6,1,4,7,4,1,-1,5,15,2,C,S,3000,7000,PASSENGER
4290,879,3,2,1509,7.646,2,HBO,6,1,3,6,TX,1,6,1,4,7,4,1,-1,5,15,2,S,C,7000,3000,PASSENGER
4291,880,1,1,730,0.191,2,HBSHOP,5,2,1,6,CA,1,1,1,2,9,3,5,1,10,29,1,C,C,17000,17000,WALK
4292,880,1,2,800,3.799,2,NHB,5,2,1,6,CA,1,1,1,2,9,3,5,1,1,29,1,C,S,17000,3000,RAIL
4293,880,1,3,940,0.131,2,NHB,5,2,1,6,CA,1,1,1,2,9,3,5,1,2,29,1,S,S,3000,3000,WALK
4294,880,1,4,1000,0.131,2,NHB,5,2,1,6,CA,1,1,1,2,9,3,5,1,2,29,1,S,S,3000,3000,WALK
4295,880,1,5,1300,0.336,2,NHB,5,2,1,6,CA,1,1,1,2,9,3,5,1,4,29,1,S,S,3000,3000,WALK
4296,880,1,6,1350,0.336,2,NHB,5,2,1,6,CA,1,1,1,2,9,3,5,1,4,29,1,S,S,3000,3000,WALK
4297,880,1,7,1700,3.775,2,HBW,5,2,1,6,CA,1,1,1,2,9,3,5,1,1,29,1,S,C,3000,17000,RAIL
4298,881,1,1,700,0.757,2,HBSHOP,5,2,1,2,GA,0,1,1,1,5,2,2,2,3,64,1,C,C,3000,3000,OTHER
4299,881,1,2,715,0.532,2,HBSHOP,5,2,1,2,GA,0,1,1,1,5,2,2,2,3,64,1,C,C,3000,3000,OTHER
4300,881,1,3,1700,2.142,2,HBO,5,2,1,2,GA,0,1,1,1,5,2,2,2,5,64,1,C,C,3000,3000,OTHER
4301,881,1,4,2100,1.571,2,HBO,5,2,1,2,GA,0,1,1,1,5,2,2,2,5,64,1,C,C,3000,3000,OTHER
4302,882,1,1,1030,0.318,2,HBO,7,2,1,1,UT,0,9,1,3,8,1,3,2,11,73,2,U,U,7000,7000,WALK
4303,882,1,2,1200,0.167,2,NHB,7,2,1,1,UT,0,9,1,3,8,1,3,2,10,73,2,U,U,7000,7000,WALK
4304,882,1,3,1240,0.169,2,NHB,7,2,1,1,UT,0,9,1,3,8,1,3,2,3,73,2,U,U,7000,7000,WALK
4305,882,1,4,1310,0.441,2,NHB,7,2,1,1,UT,0,9,1,3,8,1,3,2,3,73,2,U,U,7000,7000,WALK
4306,882,1,5,1350,0.156,2,HBSHOP,7,2,1,1,UT,0,9,1,3,8,1,3,2,11,73,2,U,U,7000,7000,WALK
4307,883,1,1,900,1.818,2,HBO,7,2,1,1,IL,0,1,2,6,3,1,3,2,4,26,2,T,T,3000,3000,PASSENGER
4308,883,1,2,930,0.083,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,3,26,2,T,T,3000,3000,PASSENGER
4309,883,1,3,1000,0.9,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,4,26,2,T,T,3000,1500,PASSENGER
4310,883,1,4,1130,9.796,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,3,26,2,T,T,1500,300,PASSENGER
4311,883,1,5,1300,10.382,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,3,26,2,T,T,300,750,PASSENGER
4312,883,1,6,1530,1.53,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,3,26,2,T,T,750,3000,WALK
4313,883,1,7,1700,0.638,2,NHB,7,2,1,1,IL,0,1,2,6,3,1,3,2,8,26,2,T,T,3000,750,WALK
4314,884,1,1,1230,0.271,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,WALK
4315,884,1,2,1330,0.946,2,NHB,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,WALK
4316,884,1,3,1405,0.973,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,RAIL
4317,884,1,4,1800,0.281,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,WALK
4318,884,1,5,1830,0.239,2,NHB,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,WALK
4319,884,1,6,1900,0.199,2,NHB,5,2,2,3,VT,1,2,4,6,1,1,3,2,10,42,2,T,T,750,750,WALK
4320,884,1,7,1906,0.11,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,2,3,42,2,T,T,750,750,WALK
4321,884,2,1,900,0.281,2,HBO,5,2,2,3,VT,1,2,4,6,1,1,3,1,4,49,1,T,T,750,750,CYCLE
4322,884,2,2,930,0.281,2,HBO,5,2,2,3,VT,1,2,4,6,1,1,3,1,4,49,1,T,T,750,750,CYCLE
4323,884,2,3,1100,0.42,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,1,3,49,1,T,T,750,750,CYCLE
4324,884,2,4,1130,0.419,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,1,3,49,1,T,T,750,750,CYCLE
4325,884,2,5,1200,0.281,2,HBW,5,2,2,3,VT,1,2,4,6,1,1,3,1,1,49,1,T,T,750,750,CYCLE
4326,884,2,6,2100,0.203,2,NHB,5,2,2,3,VT,1,2,4,6,1,1,3,1,3,49,1,T,T,750,750,CYCLE
4327,884,2,7,2110,0.313,2,HBSHOP,5,2,2,3,VT,1,2,4,6,1,1,3,1,1,49,1,T,T,750,750,CYCLE
4328,885,1,1,900,139.077,2,HBSOCREC,1,1,1,-7,AZ,0,9,1,4,8,1,3,2,10,67,1,R,U,50,3000,DRIVE
4329,886,1,1,1045,0.516,2,HBSHOP,6,1,1,-8,CA,0,9,2,6,9,1,1,2,10,81,1,T,T,1500,1500,PASSENGER
4330,886,1,2,1215,0.516,2,HBSHOP,6,1,1,-8,CA,0,9,2,6,9,1,1,2,10,81,1,T,T,1500,1500,PASSENGER
4331,887,1,1,843,5.318,2,HBW,3,2,1,3,MN,1,1,1,4,4,2,5,1,1,26,1,U,S,17000,1500,RAIL
4332,887,1,2,1700,4.206,2,HBW,3,2,1,3,MN,1,1,1,4,4,2,5,1,1,26,1,S,U,1500,17000,RAIL
4333,888,1,1,1300,0.898,2,NHB,4,2,1,2,NY,0,1,1,2,2,1,1,2,3,25,1,T,T,3000,1500,WALK
4334,888,1,2,1500,9.942,2,HBSHOP,4,2,1,2,NY,0,1,1,2,2,1,1,2,3,25,1,T,T,1500,750,RAIL
4335,889,1,1,830,11.221,2,HBO,6,1,1,1,CA,0,1,1,3,9,5,2,2,6,49,1,T,U,300,750,PASSENGER
4336,889,1,2,1100,12.307,2,NHB,6,1,1,1,CA,0,1,1,3,9,5,2,2,3,49,1,U,U,750,17000,PASSENGER
4337,889,1,3,1150,6.43,2,HBSHOP,6,1,1,1,CA,0,1,1,3,9,5,2,2,6,49,1,U,T,17000,300,PASSENGER
4338,890,1,1,1130,0.147,2,HBSHOP,1,1,2,4,NY,0,10,1,5,2,1,4,2,3,63,2,U,U,30000,30000,WALK
4339,890,1,2,1145,0.118,2,NHB,1,1,2,4,NY,0,10,1,5,2,1,4,2,3,63,2,U,U,30000,30000,WALK
4340,890,1,3,1215,0.249,2,HBSHOP,1,1,2,4,NY,0,10,1,5,2,1,4,2,3,63,2,U,U,30000,30000,WALK
4341,891,1,1,905,8.998,2,HBW,4,2,2,6,NY,2,2,1,5,2,1,4,1,1,27,2,U,U,30000,30000,BUS
4342,891,1,2,1300,0.593,2,NHB,4,2,2,6,NY,2,2,1,5,2,1,4,1,3,27,2,U,U,30000,30000,WALK
4343,891,1,3,1350,0.593,2,NHB,4,2,2,6,NY,2,2,1,5,2,1,4,1,3,27,2,U,U,30000,30000,WALK
4344,891,1,4,1900,8.882,2,HBW,4,2,2,6,NY,2,2,1,5,2,1,4,1,1,27,2,U,U,30000,30000,BUS
4345,891,2,1,815,6.793,2,HBW,4,2,2,6,NY,2,2,1,5,2,1,4,1,1,30,1,U,U,30000,17000,CYCLE
4346,891,2,2,1900,6.793,2,NHB,4,2,2,6,NY,2,2,1,5,2,1,4,1,10,30,1,U,U,17000,30000,CYCLE
4347,891,2,3,1950,0.889,1,NHB,4,2,2,6,NY,2,2,1,5,2,1,4,1,10,30,1,U,U,30000,30000,WALK
4348,891,2,4,2005,0.297,2,NHB,4,2,2,6,NY,2,2,1,5,2,1,4,1,10,30,1,U,U,30000,30000,WALK
4349,891,2,5,2100,0.297,2,HBSOCREC,4,2,2,6,NY,2,2,1,5,2,1,4,1,1,30,1,U,U,30000,30000,WALK
4350,892,2,1,1430,0.484,2,HBSOCREC,6,2,2,6,HI,1,10,1,3,9,3,3,1,10,54,1,U,U,30000,17000,WALK
4351,892,2,2,2105,0.484,2,HBSOCREC,6,2,2,6,HI,1,10,1,3,9,3,3,1,10,54,1,U,U,17000,30000,WALK
4352,893,1,1,1308,0.057,2,HBO,6,1,1,1,GA,0,9,4,6,5,1,2,2,11,70,1,T,T,750,750,WALK
4353,893,1,2,1320,0.11,2,HBSOCREC,6,1,1,1,GA,0,9,4,6,5,1,2,2,8,70,1,T,T,750,750,WALK
4354,893,1,3,1715,0.057,2,NHB,6,1,1,1,GA,0,9,4,6,5,1,2,2,1,70,1,T,T,750,750,WALK
4355,894,1,1,935,0.646,2,HBSHOP,4,2,1,1,TX,0,9,1,4,7,97,2,2,4,70,2,C,C,7000,7000,TAXI
4356,894,1,2,1020,8.697,2,NHB,4,2,1,1,TX,0,9,1,4,7,97,2,2,10,70,2,C,S,7000,3000,TAXI
4357,894,1,3,1100,10.949,2,NHB,4,2,1,1,TX,0,9,1,4,7,97,2,2,3,70,2,S,C,3000,7000,RAIL
4358,894,1,4,1300,1.011,2,HBSHOP,4,2,1,1,TX,0,9,1,4,7,97,2,2,3,70,2,C,C,7000,7000,TAXI
4359,895,1,1,800,0.62,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,2,4,62,2,T,R,1500,750,PASSENGER
4360,895,1,2,850,0.164,2,NHB,3,2,2,1,GA,0,5,2,6,5,2,1,2,10,62,2,R,T,750,1500,PASSENGER
4361,895,1,3,857,0.688,2,HBSHOP,3,2,2,1,GA,0,5,2,6,5,2,1,2,4,62,2,T,T,1500,1500,PASSENGER
4362,895,1,4,1830,11.956,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,2,5,62,2,T,R,1500,50,PASSENGER
4363,895,1,5,2100,11.956,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,2,5,62,2,R,T,50,1500,PASSENGER
4364,895,2,1,740,2.947,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,-1,5,15,2,T,R,1500,50,RAIL
4365,895,2,2,1530,2.947,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,-1,5,15,2,R,T,50,1500,RAIL
4366,895,2,3,1650,0.157,2,HBSOCREC,3,2,2,1,GA,0,5,2,6,5,2,1,-1,8,15,2,T,T,1500,1500,WALK
4367,895,2,4,1800,0.157,2,HBSOCREC,3,2,2,1,GA,0,5,2,6,5,2,1,-1,8,15,2,T,T,1500,1500,WALK
4368,895,2,5,1830,11.956,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,-1,5,15,2,T,R,1500,50,PASSENGER
4369,895,2,6,2100,11.956,2,HBO,3,2,2,1,GA,0,5,2,6,5,2,1,-1,5,15,2,R,T,50,1500,PASSENGER
4370,896,1,1,830,0.75,1,HBO,4,2,1,1,NY,0,1,1,1,2,1,2,2,10,60,1,S,S,1500,1500,WALK
4371,896,1,2,1100,0.162,2,HBSHOP,4,2,1,1,NY,0,1,1,1,2,1,2,2,10,60,1,S,S,1500,1500,WALK
4372,896,1,3,1115,0.162,2,HBSHOP,4,2,1,1,NY,0,1,1,1,2,1,2,2,10,60,1,S,S,1500,1500,WALK
4373,896,1,4,1400,0.75,1,HBO,4,2,1,1,NY,0,1,1,1,2,1,2,2,10,60,1,S,S,1500,1500,WALK
4374,896,1,5,1900,0.75,1,HBO,4,2,1,1,NY,0,1,1,1,2,1,2,2,10,60,1,S,S,1500,1500,WALK
4375,897,1,1,1300,1.713,2,HBSHOP,2,2,1,1,MA,0,9,1,2,1,1,1,2,3,65,1,T,T,750,1500,PASSENGER
4376,897,1,2,1340,0.437,2,NHB,2,2,1,1,MA,0,9,1,2,1,1,1,2,3,65,1,T,T,1500,1500,PASSENGER
4377,897,1,3,1350,1.934,2,HBSHOP,2,2,1,1,MA,0,9,1,2,1,1,1,2,3,65,1,T,T,1500,750,PASSENGER
4378,898,1,1,900,6.092,2,HBSHOP,6,2,2,4,WI,0,10,1,4,3,1,2,2,3,70,2,S,S,1500,3000,DRIVE
4379,898,1,2,925,20.534,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,70,2,S,S,3000,3000,DRIVE
4380,898,1,3,1040,17.496,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,70,2,S,S,3000,1500,DRIVE
4381,898,1,4,1145,8.757,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,10,70,2,S,S,1500,1500,DRIVE
4382,898,1,5,1245,1.197,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,70,2,S,U,1500,7000,DRIVE
4383,898,1,6,1400,12.769,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,3,70,2,U,S,7000,3000,DRIVE
4384,898,1,7,1500,0.489,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,3,70,2,S,S,3000,3000,DRIVE
4385,898,1,8,1520,4.549,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,4,70,2,S,S,3000,3000,DRIVE
4386,898,1,9,1545,1.142,2,HBSHOP,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,70,2,S,S,3000,1500,DRIVE
4387,898,2,1,900,6.092,2,HBO,6,2,2,4,WI,0,10,1,4,3,1,2,2,11,82,1,S,S,1500,3000,PASSENGER
4388,898,2,2,920,20.534,2,HBO,6,2,2,4,WI,0,10,1,4,3,1,2,2,11,82,1,S,S,3000,3000,PASSENGER
4389,898,2,3,1040,17.496,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,4,82,1,S,S,3000,1500,PASSENGER
4390,898,2,4,1145,8.757,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,10,82,1,S,S,1500,1500,PASSENGER
4391,898,2,5,1245,1.197,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,82,1,S,U,1500,7000,PASSENGER
4392,898,2,6,1400,12.769,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,4,82,1,U,S,7000,3000,PASSENGER
4393,898,2,7,1500,0.489,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,4,82,1,S,S,3000,3000,PASSENGER
4394,898,2,8,1520,4.549,2,NHB,6,2,2,4,WI,0,10,1,4,3,1,2,2,4,82,1,S,S,3000,3000,PASSENGER
4395,898,2,9,1540,1.142,2,HBO,6,2,2,4,WI,0,10,1,4,3,1,2,2,6,82,1,S,S,3000,1500,PASSENGER
4396,899,1,1,652,10.212,2,HBW,3,2,1,5,TX,1,1,1,4,7,2,3,1,1,51,1,U,S,17000,1500,RAIL
4397,899,1,2,1126,0.634,2,NHB,3,2,1,5,TX,1,1,1,4,7,2,3,1,4,51,1,S,S,1500,1500,WALK
4398,899,1,3,1159,0.634,2,NHB,3,2,1,5,TX,1,1,1,4,7,2,3,1,4,51,1,S,S,1500,1500,WALK
4399,899,1,4,1558,5.793,2,NHB,3,2,1,5,TX,1,1,1,4,7,2,3,1,4,51,1,S,U,1500,7000,RAIL
4400,899,1,5,1625,4.394,2,HBSHOP,3,2,1,5,TX,1,1,1,4,7,2,3,1,1,51,1,U,U,7000,17000,WALK
4401,900,1,1,700,1.0,1,HBO,4,2,2,1,CA,0,10,1,4,9,1,3,2,10,84,1,U,U,17000,17000,WALK
4402,900,1,2,801,4.296,2,HBSHOP,4,2,2,1,CA,0,10,1,4,9,1,3,2,3,84,1,U,U,17000,3000,BUS
4403,900,1,3,930,3.141,2,HBSHOP,4,2,2,1,CA,0,10,1,4,9,1,3,2,3,84,1,U,U,3000,17000,BUS
4404,900,1,4,1030,1.6,2,HBSHOP,4,2,2,1,CA,0,10,1,4,9,1,3,2,3,84,1,U,U,17000,17000,WALK
4405,900,1,5,1135,1.6,2,HBSHOP,4,2,2,1,CA,0,10,1,4,9,1,3,2,3,84,1,U,U,17000,17000,WALK
4406,901,1,1,900,0.146,2,HBSHOP,1,2,1,3,KY,1,1,1,3,6,1,1,1,3,63,1,U,U,7000,7000,WALK
4407,901,1,2,930,0.146,2,HBSHOP,1,2,1,3,KY,1,1,1,3,6,1,1,1,3,63,1,U,U,7000,7000,WALK
4408,901,1,3,1000,0.553,2,HBO,1,2,1,3,KY,1,1,1,3,6,1,1,1,5,63,1,U,U,7000,7000,PASSENGER
